batch,day,idturk,participantid,treatment,initialendowment,pointssaving1,pointssaving2,pointssaving3,pointssaving4,pointsdebt1,pointsdebt2,borrowdebt1,borrowdebt2,pointsthisdecision,pointsnextdecision,additionalpointssaving1,additionalpointssaving2,additionalpointssaving3,additionalpointssaving4,additionalpointsdebt1,additionalpointsdebt2,points_ia_a1,points_ia_a2,points_ia_a3,points_ia_a4,points_aa_a1,points_aa_a2,points_aa_a3,points_aa_a4,balance_ia_a1,balance_ia_a2,balance_ia_a3,balance_ia_a4,balance_aa_a1,balance_aa_a2,balance_aa_a3,balance_aa_a4,orderlottery,lottery1choice,lottery2choice,lottery3choice,lottery4choice,time1choice,time2choice,oneshotcontrol_s1,oneshotcontrol_s2,oneshotcontrol_s3,oneshotcontrol_s4,oneshotdebt_s1,oneshotdebt_s2,oneshotdebt_d1,oneshotdebt_d2,oneshothigh_s1,oneshothigh_s2,oneshothigh_d1,oneshothigh_d2,end_reasoning,end_debtimportance,end_balancesimportance,end_rateimportance,end_hindsight,demo_age,demo_sex,demo_state,demo_race,demo_educ,demo_collegeplus,demo_studentloan,demo_holddebt,demo_covid,errorbdm1,errorbdm2,errorbdm3,errordebtintro1,errordebtintro2,errordebtintro3,errordebtintro4,errordebtintro5,errordebtendowment1,errordebtendowment2,errordebtendowment3,errordebtendowment4,errordebtendowment5,errordebtendowment6,errordebtendowment7,errordebtendowment8,errordebtpayment1,errordebtpayment2,errordebtpayment3,errorend1,errorend2,error_count,error_initial,error_main,error_end,error_main_total,error_count_total,debt1bal,debt2bal,debt1percpaid,debt2percpaid,controlsaving1balanceupdated,controlsaving2balanceupdated,controlsaving3balanceupdated,controlsaving4balanceupdated,debtsaving1balanceupdated,debtsaving2balanceupdated,debtdebt1balanceupdated,debtdebt2balanceupdated,controlsaving1balanceupdated2,controlsaving2balanceupdated2,controlsaving3balanceupdated2,controlsaving4balanceupdated2,debtsaving1balanceupdated2,debtsaving2balanceupdated2,debtdebt1balanceupdated2,debtdebt2balanceupdated2,lotterychoice,timechoice,durationinseconds,controltreatment,debttreatment,hightreatment,q1697,order_oneshotcontrol,order_oneshotdebt,order_oneshothighdebt,io,perco_orig,perco_adtl,perco_os_c,perco_os_d,perco_os_h,ind_optimal_ia,ind_optimal_ap,ind_optimal_ia_all,ind_optimal_ap_all,share_pointssaving1,share_pointssaving2,share_pointssaving3,share_pointssaving4,share_pointsdebt1,share_pointsdebt2,nz_pointssaving1,nz_pointssaving2,nz_pointssaving3,nz_pointssaving4,nz_pointsdebt1,nz_pointsdebt2,type_num_acnt,debt1paidoff,debt2paidoff,perc_points_ia_a1,perc_points_ia_a2,perc_points_ia_a3,perc_points_ia_a4,prev_balance_ia_a1,prev_balance_ia_a2,prev_balance_ia_a3,prev_balance_ia_a4,balance_max,balance_min
3,Initial,A1ESLDCYJIENVI,fullerton66958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,"Since the highest interest account was a savings account, I put all of my points in that one. The loss from the debt accounts would always be offset by the returns on the locked savings account, so I ignored the debt and focused on getting the highest amount of interest every round.",Not at all important,Extremely important,Extremely important,I wouldn't change my strategy.,25,Male,Florida,Black,Some college,Non college graduate,Yes,Yes,A moderate amount,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.6,0.75,326,,,,,,,,,,,,,,0,0,1,1,,,,,,,1,1,1,1,1,1,,1,1,,,,,,,,,,
3,Day 1,A1ESLDCYJIENVI,fullerton66958,High Debt,500,500,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,500,0,0,0,100,0,0,0,1600,700,-2900,-3500,1700,700,-2900,-3500,2,250,0.75,,,500,1,,,,,,,,,,,,,"Since the highest interest account was a savings account, I put all of my points in that one. The loss from the debt accounts would always be offset by the returns on the locked savings account, so I ignored the debt and focused on getting the highest amount of interest every round.",Not at all important,Extremely important,Extremely important,I wouldn't change my strategy.,25,Male,Florida,Black,Some college,Non college graduate,Yes,Yes,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,-2900,-3500,0,0,,,,,1600,700,-2900,-3500,,,,,1700,700,-2900,-3500,,,1374,0,0,1,No,,,,500,1,1,,,,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1100,700,-2900,-3500,1100,-3500
3,Day 2,A1ESLDCYJIENVI,fullerton66958,High Debt,620,620,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,620,0,0,0,100,0,0,0,2320,700,-2900,-3500,2420,700,-2900,-3500,1,350,0.8,,,400,1,,,,,,,,,,,,,"Since the highest interest account was a savings account, I put all of my points in that one. The loss from the debt accounts would always be offset by the returns on the locked savings account, so I ignored the debt and focused on getting the highest amount of interest every round.",Not at all important,Extremely important,Extremely important,I wouldn't change my strategy.,25,Male,Florida,Black,Some college,Non college graduate,Yes,Yes,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,-2900,-3500,0,0,,,,,2320,700,-2900,-3500,,,,,2420,700,-2900,-3500,,,1787,0,0,1,,,,,620,1,1,,,,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1600,700,-2900,-3500,1600,-3500
3,Day 3,A1ESLDCYJIENVI,fullerton66958,High Debt,764,764,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,764,0,0,0,100,0,0,0,3184,700,-2900,-3500,3284,700,-2900,-3500,1,350,1,,,350,0.75,,,,,,,,,,,,,"Since the highest interest account was a savings account, I put all of my points in that one. The loss from the debt accounts would always be offset by the returns on the locked savings account, so I ignored the debt and focused on getting the highest amount of interest every round.",Not at all important,Extremely important,Extremely important,I wouldn't change my strategy.,25,Male,Florida,Black,Some college,Non college graduate,Yes,Yes,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,-2900,-3500,0,0,,,,,3184,700,-2900,-3500,,,,,3284,700,-2900,-3500,,,981,0,0,1,,,,,764,1,1,,,,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2320,700,-2900,-3500,2320,-3500
3,Day 4,A1ESLDCYJIENVI,fullerton66958,High Debt,937,937,0,0,0,0,0,0,0,445,,445,0,0,0,0,0,937,0,0,0,445,0,0,0,4221,700,-2900,-3500,4666,700,-2900,-3500,2,250,,,,,,1000,0,0,0,1000,0,0,0,800,0,200,0,"Since the highest interest account was a savings account, I put all of my points in that one. The loss from the debt accounts would always be offset by the returns on the locked savings account, so I ignored the debt and focused on getting the highest amount of interest every round.",Not at all important,Extremely important,Extremely important,I wouldn't change my strategy.,25,Male,Florida,Black,Some college,Non college graduate,Yes,Yes,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2900,-3500,0,0,,,,,4221,700,-2900,-3500,,,,,4666,700,-2900,-3500,,,1618,0,0,1,,1,3,2,937,1,1,1,1,0.80000001,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,3184,700,-2900,-3500,3184,-3500
1,Initial,A1EXO9HRNQYHWC,richmond26526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,My decisions are based on my gut feelings.,Moderately important,Moderately important,Moderately important,No strategy Just my gut feelings as well.,23,Female,Ohio,Black,College graduate with Bachelor's Degree (4 year),College or more,No,No,A little,1,0,0,,,,,,,,,,,,,,,,,,,1,1,0,0,12,15,,,,,,,,,,,,,,,,,,,,,0.8,0.98,715,,,,,,,,,,,,,,0,0,0,0,,,,,,,1,1,1,1,1,1,,1,1,,,,,,,,,,
1,Day 1,A1EXO9HRNQYHWC,richmond26526,Low Debt,500,125,125,0,0,125,125,0,0,600,0,150,150,0,0,150,150,125,125,125,125,150,150,150,150,1225,825,-775,-1375,1375,975,-625,-1225,1,250,0.5,,,200,0.7,,,,,,,,,,,,,My decisions are based on my gut feelings.,Moderately important,Moderately important,Moderately important,No strategy Just my gut feelings as well.,23,Female,Ohio,Black,College graduate with Bachelor's Degree (4 year),College or more,No,No,A little,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,,,5,1,4,0,12,15,-625,-1225,0.30555555,0.18333334,,,,,1225,825,-775,-1375,,,,,1375,975,-625,-1225,,,2262,0,1,0,None,,,,500,0.25,0.25,,,,0,0,0,0,0.25,0.25,0,0,0.25,0.25,1,1,0,0,1,1,4,0,0,0.25,0.25,0.25,0.25,1100,700,-900,-1500,1100,-1500
1,Day 2,A1EXO9HRNQYHWC,richmond26526,Low Debt,638,155,155,0,0,164,164,0,0,100,0,25,25,0,0,25,25,155,155,164,164,25,25,25,25,1530,1130,-461,-1061,1555,1155,-436,-1036,1,250,0.9,,,300,0.9,,,,,,,,,,,,,My decisions are based on my gut feelings.,Moderately important,Moderately important,Moderately important,No strategy Just my gut feelings as well.,23,Female,Ohio,Black,College graduate with Bachelor's Degree (4 year),College or more,No,No,A little,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,,,3,0,3,0,12,15,-436,-1036,0.51555556,0.30933332,,,,,1530,1130,-461,-1061,,,,,1555,1155,-436,-1036,,,1498,0,1,0,,,,,638,0.24294671,0.25,,,,0,0,0,0,0.24294671,0.24294671,0,0,0.25705329,0.25705329,1,1,0,0,1,1,4,0,0,0.24294671,0.24294671,0.25705329,0.25705329,1225,825,-775,-1375,1225,-1375
1,Day 3,A1EXO9HRNQYHWC,richmond26526,Low Debt,729,180,180,0,0,180,189,0,0,588,0,147,147,0,0,147,147,180,180,180,189,147,147,147,147,1735,1335,-256,-847,1882,1482,-109,-700,2,250,0.9,,,250,0.5,,,,,,,,,,,,,My decisions are based on my gut feelings.,Moderately important,Moderately important,Moderately important,No strategy Just my gut feelings as well.,23,Female,Ohio,Black,College graduate with Bachelor's Degree (4 year),College or more,No,No,A little,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,2,0,2,0,12,15,-109,-700,0.87888891,0.53333336,,,,,1735,1335,-256,-847,,,,,1882,1482,-109,-700,,,2933,0,1,0,,,,,729,0.24691358,0.25,,,,0,0,0,0,0.24691358,0.24691358,0,0,0.24691358,0.25925925,1,1,0,0,1,1,4,0,0,0.24691358,0.24691358,0.24691358,0.25925925,1530,1130,-461,-1061,1530,-1061
1,Day 4,A1EXO9HRNQYHWC,richmond26526,Low Debt,893,223,223,0,0,223,224,0,0,600,,150,150,0,0,150,150,223,223,223,224,150,150,150,150,2105,1705,114,-476,2255,1855,264,-326,1,250,,,,,,250,250,250,250,500,300,100,100,250,250,250,250,My decisions are based on my gut feelings.,Moderately important,Moderately important,Moderately important,No strategy Just my gut feelings as well.,23,Female,Ohio,Black,College graduate with Bachelor's Degree (4 year),College or more,No,No,A little,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,4,0,3,1,12,15,264,-326,1.2933333,0.78266668,,,,,2105,1705,114,-476,,,,,2255,1855,264,-326,,,6461,0,1,0,,2,1,3,893,0.24972005,0.25,0.25,0.5,0.25,0,0,0,0,0.24972005,0.24972005,0,0,0.24972005,0.25083986,1,1,0,0,1,1,4,1,0,0.24972005,0.24972005,0.24972005,0.25083986,1735,1335,-256,-847,1735,-847
3,Initial,A1F63RK1PMJS5Y,montgomery46134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,I lucked out with no debt so I wanted to apply the most to the highest interest rates to make sure I grew the most.,Not at all important,Moderately important,Extremely important,I would not have changed anything I did because I got lucky and had no debt so I could just apply everything to the highest interest rate. If I had debt things would have been different.,34,Male,New Hampshire,White,High school or equivalent,Non college graduate,No,No,A moderate amount,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,1,5,,,,,,,,,,,,,,,,,,,,,0.5,0.6,281,,,,,,,,,,,,,,0,0,1,1,,,,,,,1,1,1,1,1,1,,1,1,,,,,,,,,,
3,Day 1,A1F63RK1PMJS5Y,montgomery46134,No Debt,500,500,0,0,0,0,0,0,0,600,0,600,0,0,0,0,0,500,0,0,0,600,0,0,0,1600,700,900,1500,2200,700,900,1500,1,250,0.5,,,200,0.6,,,,,,,,,,,,,I lucked out with no debt so I wanted to apply the most to the highest interest rates to make sure I grew the most.,Not at all important,Moderately important,Extremely important,I would not have changed anything I did because I got lucky and had no debt so I could just apply everything to the highest interest rate. If I had debt things would have been different.,34,Male,New Hampshire,White,High school or equivalent,Non college graduate,No,No,A moderate amount,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,2,1,1,0,1,5,,,,,1600,700,900,1500,,,,,2200,700,900,1500,,,,,,,1108,1,0,0,no,,,,500,1,1,,,,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1100,700,900,1500,1500,700
3,Day 2,A1F63RK1PMJS5Y,montgomery46134,No Debt,720,720,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,720,0,0,0,100,0,0,0,2920,700,900,1500,3020,700,900,1500,2,250,0.65,,,200,0.65,,,,,,,,,,,,,I lucked out with no debt so I wanted to apply the most to the highest interest rates to make sure I grew the most.,Not at all important,Moderately important,Extremely important,I would not have changed anything I did because I got lucky and had no debt so I could just apply everything to the highest interest rate. If I had debt things would have been different.,34,Male,New Hampshire,White,High school or equivalent,Non college graduate,No,No,A moderate amount,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,1,5,,,,,2920,700,900,1500,,,,,3020,700,900,1500,,,,,,,882,1,0,0,,,,,720,1,1,,,,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1600,700,900,1500,1600,700
3,Day 3,A1F63RK1PMJS5Y,montgomery46134,No Debt,884,884,0,0,0,0,0,0,0,569,0,569,0,0,0,0,0,884,0,0,0,569,0,0,0,3904,700,900,1500,4473,700,900,1500,2,250,0.65,,,400,0.9,,,,,,,,,,,,,I lucked out with no debt so I wanted to apply the most to the highest interest rates to make sure I grew the most.,Not at all important,Moderately important,Extremely important,I would not have changed anything I did because I got lucky and had no debt so I could just apply everything to the highest interest rate. If I had debt things would have been different.,34,Male,New Hampshire,White,High school or equivalent,Non college graduate,No,No,A moderate amount,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,1,5,,,,,3904,700,900,1500,,,,,4473,700,900,1500,,,,,,,799,1,0,0,,,,,884,1,1,,,,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,2920,700,900,1500,2920,700
3,Day 4,A1F63RK1PMJS5Y,montgomery46134,No Debt,1175,1175,0,0,0,0,0,0,0,482,,482,0,0,0,0,0,1175,0,0,0,482,0,0,0,5648,700,900,1500,6130,700,900,1500,2,250,,,,,,1000,0,0,0,1000,0,0,0,0,0,1000,0,I lucked out with no debt so I wanted to apply the most to the highest interest rates to make sure I grew the most.,Not at all important,Moderately important,Extremely important,I would not have changed anything I did because I got lucky and had no debt so I could just apply everything to the highest interest rate. If I had debt things would have been different.,34,Male,New Hampshire,White,High school or equivalent,Non college graduate,No,No,A moderate amount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,,,,,5648,700,900,1500,,,,,6130,700,900,1500,,,,,,,743,1,0,0,,2,3,1,1175,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,3904,700,900,1500,3904,700
3,Initial,A1FJ9EGNO1DF60,richmond26526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,I felt making that decision will be more lucrative and rational.,Very important,Extremely important,Very important,Putting more in ones that are looking more lucrative.,35,Male,Virginia,White,College graduate with Bachelor's Degree (4 year),College or more,No,No,A moderate amount,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,11,11,,,,,,,,,,,,,,,,,,,,,0.5,0.5,417,,,,,,,,,,,,,,0,0,0,0,,,,,,,1,1,1,1,1,1,,1,1,,,,,,,,,,
3,Day 1,A1FJ9EGNO1DF60,richmond26526,Low Debt,500,200,200,0,0,50,50,0,0,100,0,30,30,0,0,20,20,200,200,50,50,30,30,20,20,1300,900,-850,-1450,1330,930,-830,-1430,2,350,0.55,,,350,0.5,,,,,,,,,,,,,I felt making that decision will be more lucrative and rational.,Very important,Extremely important,Very important,Putting more in ones that are looking more lucrative.,35,Male,Virginia,White,College graduate with Bachelor's Degree (4 year),College or more,No,No,A moderate amount,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,,,4,0,4,0,11,11,-830,-1430,0.077777781,0.046666667,,,,,1300,900,-850,-1450,,,,,1330,930,-830,-1430,,,1059,0,1,0,No. ,,,,500,0.40000001,0.30000001,,,,0,0,0,0,0.40000001,0.40000001,0,0,0.1,0.1,1,1,0,0,1,1,4,0,0,0.40000001,0.40000001,0.1,0.1,1100,700,-900,-1500,1100,-1500
3,Day 2,A1FJ9EGNO1DF60,richmond26526,Low Debt,583,100,200,0,0,100,183,0,0,100,0,30,20,0,0,40,10,100,200,100,183,30,20,40,10,1430,1130,-730,-1247,1460,1150,-690,-1237,1,350,0.55,,,400,0.6,,,,,,,,,,,,,I felt making that decision will be more lucrative and rational.,Very important,Extremely important,Very important,Putting more in ones that are looking more lucrative.,35,Male,Virginia,White,College graduate with Bachelor's Degree (4 year),College or more,No,No,A moderate amount,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,2,0,2,0,11,11,-690,-1237,0.23333333,0.17533334,,,,,1430,1130,-730,-1247,,,,,1460,1150,-690,-1237,,,1132,0,1,0,,,,,583,0.17152658,0.30000001,,,,0,0,0,0,0.17152658,0.34305316,0,0,0.17152658,0.31389365,1,1,0,0,1,1,4,0,0,0.17152658,0.34305316,0.17152658,0.31389365,1300,900,-850,-1450,1300,-1450
3,Day 3,A1FJ9EGNO1DF60,richmond26526,Low Debt,662,100,200,0,0,200,162,0,0,100,500,40,20,0,0,20,20,100,200,200,162,40,20,20,20,1560,1350,-490,-1075,1600,1370,-470,-1055,2,350,0.4,,,400,0.65,,,,,,,,,,,,,I felt making that decision will be more lucrative and rational.,Very important,Extremely important,Very important,Putting more in ones that are looking more lucrative.,35,Male,Virginia,White,College graduate with Bachelor's Degree (4 year),College or more,No,No,A moderate amount,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,2,0,2,0,11,11,-470,-1055,0.47777778,0.29666665,,,,,1560,1350,-490,-1075,,,,,1600,1370,-470,-1055,,,3614,0,1,0,,,,,662,0.15105741,0.40000001,,,,0,0,0,0,0.15105741,0.30211481,0,0,0.30211481,0.24471299,1,1,0,0,1,1,4,0,0,0.15105741,0.30211481,0.30211481,0.24471299,1430,1130,-730,-1247,1430,-1247
3,Day 4,A1FJ9EGNO1DF60,richmond26526,Low Debt,1254,400,450,0,0,200,204,0,0,566,,200,100,0,0,100,166,400,450,200,204,200,100,100,166,2000,1820,-270,-851,2200,1920,-170,-685,2,350,,,,,,300,200,200,300,300,300,200,200,400,400,100,100,I felt making that decision will be more lucrative and rational.,Very important,Extremely important,Very important,Putting more in ones that are looking more lucrative.,35,Male,Virginia,White,College graduate with Bachelor's Degree (4 year),College or more,No,No,A moderate amount,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,3,0,11,11,-170,-685,0.81111109,0.54333335,,,,,2000,1820,-270,-851,,,,,2200,1920,-170,-685,,,1596,0,1,0,,1,2,3,1254,0.31897926,0.3533569,0.30000001,0.30000001,0.40000001,0,0,0,0,0.31897926,0.35885167,0,0,0.15948963,0.16267942,1,1,0,0,1,1,4,0,0,0.31897926,0.35885167,0.15948963,0.16267942,1560,1350,-490,-1075,1560,-1075
3,Initial,A1HP506HGINWSV,lynwood73109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,"I very much dislike debt and in the first two rounds tried to pay the debt down on the account with 15% interest. Only later I realized that probably the smartest thing would have been to put money on the account that earned 20% interest. This was an interesting experiment, because it made me think how I manage my savings and debts in real life.",Extremely important,Very important,Extremely important,"Put all the money on the account that earned highest interest, instead of focusing on paying the debt.",59,Female,Florida,White,College graduate with Associate's Degree (2 year),College or more,Yes,No,A lot,1,1,0,,,,,,,,,,,,,,,,,,,2,2,0,0,1,3,,,,,,,,,,,,,,,,,,,,,0.5,1,543,,,,,,,,,,,,,,0,0,0,0,,,,,,,1,1,1,1,1,1,,1,1,,,,,,,,,,
3,Day 1,A1HP506HGINWSV,lynwood73109,High Debt,500,0,0,0,0,500,0,0,0,100,500,0,0,0,0,100,0,0,0,500,0,0,0,100,0,1100,700,-2400,-3500,1100,700,-2300,-3500,1,200,0.25,,,500,1,,,,,,,,,,,,,"I very much dislike debt and in the first two rounds tried to pay the debt down on the account with 15% interest. Only later I realized that probably the smartest thing would have been to put money on the account that earned 20% interest. This was an interesting experiment, because it made me think how I manage my savings and debts in real life.",Extremely important,Very important,Extremely important,"Put all the money on the account that earned highest interest, instead of focusing on paying the debt.",59,Female,Florida,White,College graduate with Associate's Degree (2 year),College or more,Yes,No,A lot,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,1,0,1,0,1,3,-2300,-3500,0.20689656,0,,,,,1100,700,-2400,-3500,,,,,1100,700,-2300,-3500,,,1599,0,0,1,Everything was clear.,,,,500,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1100,700,-2900,-3500,1100,-3500
3,Day 2,A1HP506HGINWSV,lynwood73109,High Debt,1090,0,0,0,0,1090,0,0,0,100,0,0,0,0,0,100,0,0,0,1090,0,0,0,100,0,1100,700,-1210,-3500,1100,700,-1110,-3500,1,250,0.4,,,500,1,,,,,,,,,,,,,"I very much dislike debt and in the first two rounds tried to pay the debt down on the account with 15% interest. Only later I realized that probably the smartest thing would have been to put money on the account that earned 20% interest. This was an interesting experiment, because it made me think how I manage my savings and debts in real life.",Extremely important,Very important,Extremely important,"Put all the money on the account that earned highest interest, instead of focusing on paying the debt.",59,Female,Florida,White,College graduate with Associate's Degree (2 year),College or more,Yes,No,A lot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,3,-1110,-3500,0.61724138,0,,,,,1100,700,-1210,-3500,,,,,1100,700,-1110,-3500,,,1127,0,0,1,,,,,1090,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1100,700,-2400,-3500,1100,-3500
3,Day 3,A1HP506HGINWSV,lynwood73109,High Debt,769,769,0,0,0,0,0,0,0,100,500,100,0,0,0,0,0,769,0,0,0,100,0,0,0,1869,700,-1110,-3500,1969,700,-1110,-3500,2,200,0.4,,,500,1,,,,,,,,,,,,,"I very much dislike debt and in the first two rounds tried to pay the debt down on the account with 15% interest. Only later I realized that probably the smartest thing would have been to put money on the account that earned 20% interest. This was an interesting experiment, because it made me think how I manage my savings and debts in real life.",Extremely important,Very important,Extremely important,"Put all the money on the account that earned highest interest, instead of focusing on paying the debt.",59,Female,Florida,White,College graduate with Associate's Degree (2 year),College or more,Yes,No,A lot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,3,-1110,-3500,0.61724138,0,,,,,1869,700,-1110,-3500,,,,,1969,700,-1110,-3500,,,889,0,0,1,,,,,769,1,1,,,,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1100,700,-1210,-3500,1100,-3500
3,Day 4,A1HP506HGINWSV,lynwood73109,High Debt,1442,1442,0,0,0,0,0,0,0,433,,433,0,0,0,0,0,1442,0,0,0,433,0,0,0,3411,700,-1110,-3500,3844,700,-1110,-3500,2,250,,,,,,1000,0,0,0,1000,0,0,0,1000,0,0,0,"I very much dislike debt and in the first two rounds tried to pay the debt down on the account with 15% interest. Only later I realized that probably the smartest thing would have been to put money on the account that earned 20% interest. This was an interesting experiment, because it made me think how I manage my savings and debts in real life.",Extremely important,Very important,Extremely important,"Put all the money on the account that earned highest interest, instead of focusing on paying the debt.",59,Female,Florida,White,College graduate with Associate's Degree (2 year),College or more,Yes,No,A lot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,-1110,-3500,0.61724138,0,,,,,3411,700,-1110,-3500,,,,,3844,700,-1110,-3500,,,1060,0,0,1,,2,3,1,1442,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1869,700,-1110,-3500,1869,-3500
2,Initial,A1IHFT9QVJ5H94,sanjose67513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,The first account had the highest interest rate,Not at all important,Not at all important,Extremely important,I would always choose the highest interest account.,58,Female,Washington,White,College graduate with Associate's Degree (2 year),College or more,No,Yes,A lot,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.5,1,393,,,,,,,,,,,,,,0,0,1,1,,,,,,,1,1,1,1,1,1,,1,1,,,,,,,,,,
2,Day 1,A1IHFT9QVJ5H94,sanjose67513,High Debt,500,500,0,0,0,0,0,0,0,308,0,308,0,0,0,0,0,500,0,0,0,308,0,0,0,1600,700,-2900,-3500,1908,700,-2900,-3500,1,200,1,,,250,1,,,,,,,,,,,,,The first account had the highest interest rate,Not at all important,Not at all important,Extremely important,I would always choose the highest interest account.,58,Female,Washington,White,College graduate with Associate's Degree (2 year),College or more,No,Yes,A lot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,-2900,-3500,0,0,,,,,1600,700,-2900,-3500,,,,,1908,700,-2900,-3500,,,1246,0,0,1,no,,,,500,1,1,,,,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1100,700,-2900,-3500,1100,-3500
2,Day 2,A1IHFT9QVJ5H94,sanjose67513,High Debt,662,662,0,0,0,0,0,0,0,416,0,416,0,0,0,0,0,662,0,0,0,416,0,0,0,2570,700,-2900,-3500,2986,700,-2900,-3500,2,200,1,,,250,1,,,,,,,,,,,,,The first account had the highest interest rate,Not at all important,Not at all important,Extremely important,I would always choose the highest interest account.,58,Female,Washington,White,College graduate with Associate's Degree (2 year),College or more,No,Yes,A lot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,-2900,-3500,0,0,,,,,2570,700,-2900,-3500,,,,,2986,700,-2900,-3500,,,1199,0,0,1,,,,,662,1,1,,,,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1600,700,-2900,-3500,1600,-3500
